"","CCI","CMF","CMO","DVI","MACD","MFI","OBV","MOMENTUM","RSI","FASTK","FASTD","SLOWD","TDI","WILLIAMSAD","WPR","BUY"
"2002-01-04",154.486352072889,0.0266607096520607,53.8024686044703,0.766666666666667,0.721985281978887,70.6642018550349,-17553400000,7.23999000000003,62.5966258170455,0.934859114847109,0.911965785003154,0.844976042980871,-872.580078999998,-312.711065999998,0.0651408851528907,1
"2002-01-07",138.783882162955,0.00867469821655969,40.716914338697,0.741269841269841,0.740752989778315,70.4336466112439,-18861700000,-7.61999500000002,58.4343058570602,0.777573743088672,0.904144285978594,0.879877135986569,-942.579834999998,-324.791021999998,0.222426256911328,1
"2002-01-08",93.5893299283817,0.00138123401578916,27.5713325432824,0.743650793650794,0.71802985855185,62.8719622440786,-20120500000,-4.18005399999993,56.2256360019916,0.618399076685921,0.776943978207234,0.864351349729661,-998.609987999998,-331.681036999998,0.381600923314079,1
"2002-01-09",75.0492893998938,0.00750362536563907,13.199352245112,0.724603174603175,0.653569498698436,54.4290924337386,-21572500000,-5.56994600000007,53.3328804845012,0.482947157874645,0.626306659216413,0.769131641134081,-993.979981999998,-350.801031999998,0.517052842125355,1
"2002-01-10",41.9323512750564,0.0595468038099286,8.0022690300298,0.653174603174603,0.60535388852927,46.1096180896666,-20273500000,1.410034,53.978389701792,0.498774508811254,0.533373581123941,0.64554140618253,-982.700074999998,-345.100958999998,0.501225491188746,0
"2002-01-11",2.76487134920983,-0.0126301200352029,6.39439636564133,0.547619047619048,0.485064132744895,46.8709632974886,-21485400000,-10.950073,48.3815445148329,0.229995043445148,0.403905570043683,0.521195270128012,-932.620117999998,-358.911016999998,0.770004956554852,0
"2002-01-14",-70.6508441678305,-0.00971080958700249,-7.12868028412141,0.415079365079365,0.335498772413989,37.515798251099,-22771800000,-7.18994199999997,45.0765758656046,0.0535114011193555,0.260760317791919,0.399346489653181,-849.470093999998,-366.100958999998,0.946488598880645,0
"2002-01-15",-62.2536402548167,0.00896278053276216,1.56431936529102,0.351587301587302,0.268308329854849,40.9959616130532,-21384900000,7.77990700000009,49.126206734785,0.244476269030105,0.17599423786487,0.280220041900158,-752.740113999998,-356.791022999998,0.755523730969895,0
"2002-01-16",-147.912296798142,-0.0809387166748636,-19.4054047794105,0.300793650793651,0.0833259446318069,34.9284357271665,-22867400000,-18.619995,41.28109884924,0.00161592624702177,0.0998678654654943,0.178874140374095,-694.360108999998,-375.411017999998,0.998384073752978,0
"2002-01-17",-129.397986352988,-0.0613369484013738,-15.747673024602,0.236507936507937,0.0158517824716986,36.6675611116244,-21487300000,11.3100589999999,46.8348072751299,0.230194409330916,0.158762201536015,0.144874768288793,-637.240112999998,-364.100958999998,0.769805590669084,0
"2002-01-18",-149.70908825598,-0.13300882976295,-27.1208575443025,0.21984126984127,-0.116013648844293,30.8816996800108,-22820600000,-11.3000489999999,42.5088280731286,0.059596416756886,0.0971355841116083,0.118588550371039,-615.140260999998,-375.401007999998,0.940403583243114,0
"2002-01-22",-168.614768350217,-0.118011178493273,-24.2517877327917,0.220634920634921,-0.276102287934488,30.3282666155609,-24132200000,-8.26989700000013,39.6242567854753,0.0237051556624572,0.10449866058342,0.120132148743681,-589.730227999997,-391.350958999998,0.976294844337543,0
"2002-01-23",-137.77625761403,-0.111840939513701,-21.9088655031029,0.23968253968254,-0.336641252758985,37.4836001211155,-2.2653e+10,8.86999500000002,44.0125982690635,0.180551141849929,0.0879509047564243,0.0965283831504846,-556.190188999997,-380.600958999998,0.819448858150071,0
"2002-01-24",-84.0706231906202,-0.108200933930701,-28.981469410729,0.34047619047619,-0.352513790224407,37.8660695629081,-21100200000,3.9699700000001,45.9076552207137,0.247228594557834,0.150494964023407,0.114314843121084,-515.880129999998,-376.630988999998,0.752771405442166,0
"2002-01-25",-75.3552516984693,-0.0930619887777945,-36.2669960718561,0.412698412698413,-0.353046233153742,30.1709574506707,-19755100000,1.13000499999998,46.463127985214,0.266207542748171,0.231329093051978,0.156591653943937,-460.770144999997,-371.170905999998,0.733792457251829,0
"2002-01-28",-69.4318395729804,-0.122243695222122,-31.5867707157304,0.456349206349206,-0.351008407277764,30.4281872645317,-20941900000,-0.219970000000103,46.3633190886423,0.27503109451642,0.262822410607475,0.214882155894287,-473.330079999998,-376.740851999998,0.72496890548358,0
"2002-01-29",-154.088273387885,-0.179700525229984,-46.5622812812965,0.485714285714286,-0.573612588871408,29.6695123922948,-22753900000,-32.420044,34.5748796663499,0.0251592226802895,0.188799286648294,0.227650263435916,-412.330202999997,-413.570807999998,0.974840777319711,0
"2002-01-30",-170.394891822972,-0.0689081929437097,-30.4833235487916,0.493650793650794,-0.651059027104317,28.960672576089,-20734300000,12.9299310000001,41.0162927793285,0.407690096412395,0.235960137869702,0.229193945041824,-322.470217999997,-381.660895999998,0.592309903587605,1
"2002-01-31",-67.7805689811313,-0.0545336584707273,-17.3824958535149,0.511904761904762,-0.586973800243473,36.2704895025837,-19177300000,16.630005,48.0946087860745,0.624307614147911,0.352385644413532,0.25904835631051,-255.300051999998,-364.760993999998,0.375692385852089,0
"2002-02-01",-66.3048599905432,-0.121263833645639,-15.7427754075693,0.493650793650794,-0.586623307653766,36.0470218741234,-20544500000,-8,45.2795816935306,0.603721547385874,0.545239752648727,0.377861844977321,-170.269899999998,-372.760993999998,0.396278452614126,0
